run_name,conv_layers,fc_layers,maxpool,stride,epochs,best_train_loss,best_val_loss,best_val_acc,test_loss,test_acc,time_sec
base_model,"[32, 64]",[256],True,1,10,0.111453939,2.375525917,33.87878788,4.462251562,34.39393939,306.41
model2,"[64, 128, 256, 512, 512]","[1024, 512]",True,1,35,0.070847902,2.306174887,36.21212121,6.101693658,39.6969697,575.18
model3,"[64, 128, 256, 512, 512, 512]","[2048, 1024, 512]",True,1,40,0.151674558,2.845135453,21.84848485,8.673321537,22.48484848,793.31
model4,"[64, 128, 256, 512, 512]","[1024, 512]",True,1,35,1.443424501,2.070587439,44.24242424,2.047192122,44.90909091,889.68
model5_dropout,"[64, 128, 256, 512, 512]","[1024, 512]",True,1,60,1.095965068,1.922505192,47.75757576,1.941944738,51.48484848,1564.46
model6_bn+dropout,"[64, 128, 256, 512, 512]","[1024, 512]",True,1,60,0.026896934,2.063772821,44.18181818,3.619442291,54.45454545,1280.18
final complex,"[64, 128, 256, 512, 512]","[1024, 512]",True,1,60,0.4162308928460785,1.568650747068001,58.15151515151515,1.6466239502574458,64.24242424242425,2515.63
stride2_first_layer,"[64, 128, 256, 512, 512]","[1024, 512]",True,"[2, 1, 1, 1, 1]",60,0.5051125130508886,1.6932869263851282,54.333333333333336,1.999129439628485,57.96969696969697,2491.53
increasedEpochs,"[64, 128, 256, 512, 512]","[1024, 512]",True,1,80,0.2634050014524748,1.5395397326440523,60.06060606060606,1.8437143260782416,64.54545454545455,2726.52
Final Analysis,"[64, 128, 256, 512, 512]","[1024, 512]",True,1,60,0.4311365837039369,1.579372521313754,56.878787878787875,1.6807979780616182,63.303030303030305,1992.38
